stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
257,,Pavlovičovo nám.  *,,48.990139,21.240931,1,,0,,,0,,
258,,Kúpeľná  *,,48.99218,21.23604,1,,0,,,0,,
260,,Ostrovček  *,,48.993431,21.230511,1,,0,,,0,,
261,,SOŠ lesnícka  *,,48.992729,21.2288,1,,0,,,0,,
262,,Kollárova  *,,48.992149,21.224649,1,,0,,,0,,
263,,Sázavského  *,,48.994289,21.22344,1,,0,,,0,,
264,,Odborárska  *,,48.997082,21.221889,1,,0,,,0,,
265,,Marka Čulena  *,,48.999741,21.22047,1,,0,,,0,,
269,,Kpt. Nálepku  *,,48.992611,21.246861,1,,0,,,0,,
270,,Chalupkova  *,,48.97044,21.255159,1,,0,,,0,,
271,,Švábska,,48.97139,21.259159,1,,0,,,0,,
272,,Lomnická,,48.97435,21.262409,1,,0,,,0,,
273,,Lesnícka,,48.979359,21.264,1,,0,,,0,,
274,,Pavla Horova,,48.98381,21.26388,1,,0,,,0,,
275,,Laca Novomeského,,48.989601,21.26741,1,,0,,,0,,
276,,Martina Benku,,48.98724,21.264759,1,,0,,,0,,
277,,Kysucká  *,,48.984371,21.27285,1,,0,,,0,,
278,,Kukučínova  *,,48.981369,21.27426,1,,0,,,0,,
279,,Solivar,,48.97834,21.27684,1,,0,,,0,,
281,,Šidlovec  *,,49.032879,21.24814,1,,0,,,0,,
282,,Stavbárska  *,,49.033058,21.241791,1,,0,,,0,,
283,,Severná,,49.024181,21.336769,2,,0,,,0,,
284,,Jánošíkova  *,,49.026402,21.23794,1,,0,,,0,,
286,,Pod Kamennou baňou  *,,48.983459,21.233879,1,,0,,,0,,
288,,Horárska  *,,48.986179,21.226061,1,,0,,,0,,
289,,Jilemnického  *,,48.976269,21.24547,1,,0,,,0,,
290,,Pekárne  *,,48.978958,21.24407,1,,0,,,0,,
291,,Priemyselné centrum  *,,48.982899,21.24334,1,,0,,,0,,
292,,Štúrova  *,,48.985401,21.242889,1,,0,,,0,,
293,,Malý Šariš,,49.014919,21.186489,2,,0,,,0,,
294,,Šľachtiteľská stanica  *,,49.012409,21.18565,2,,0,,,0,,
295,,Nákupné stredisko  *,,49.009781,21.182119,2,,0,,,0,,
296,,OcÚ Malý Šariš  *,,49.008018,21.1793,2,,0,,,0,,
297,,Rázc.Malý Šariš  *,,49.004429,21.18117,2,,0,,,0,,
298,,Telekča  *,,49.00164,21.1917,2,,0,,,0,,
299,,Rázc.Cemjata  *,,48.997959,21.20365,1,,0,,,0,,
300,,Mýto  *,,49.00243,21.21542,1,,0,,,0,,
301,,Levočská,,49.00045,21.224159,1,,0,,,0,,
302,,Poliklinika,,49.0009,21.236099,1,,0,,,0,,
303,,Čistička  *,,48.964722,21.24651,1,,0,,,0,,
304,,Priecestie  *,,48.957432,21.241051,2,,0,,,0,,
305,,Lemešianska  *,,48.95557,21.2407,2,,0,,,0,,
306,,Haniska,,48.95327,21.241199,2,,0,,,0,,
307,,Veľký Šariš,,49.041382,21.189529,2,,0,,,0,,
